File name,Fleet size,Number of jobs,Average job duration,Average energy job costs,Lower bound,Upper bound,GAP (%),Runtime
Ins_V5_J100_T20_R60_B10_W1_S222_N2.txt,5,100,27,1,676,676,0.00,46.52
Ins_V5_J50_T20_R60_B10_W1_S130_N0.txt,5,50,20,1,245,245,0.00,4.74
Ins_V10_J100_T10_R60_B10_W2_S243_N3.txt,10,100,11,2,220,219,0.45,600.49
Ins_V5_J100_T30_R60_B10_W1_S232_N2.txt,5,100,35,1,808,808,0.00,72.17
Ins_V10_J50_T20_R60_B10_W1_S169_N9.txt,10,50,22,1,115,115,0.00,0.41
Ins_V2_J150_T30_R60_B10_W1_S28_N8.txt,2,150,36,1,3291,3291,0.00,303.70
Ins_V5_J100_T20_R60_B10_W4_S228_N8.txt,5,100,25,4,1056,1020,3.41,600.06
Ins_V10_J50_T10_R60_B10_W1_S154_N4.txt,10,50,11,1,59,59,0.00,0.35
Ins_V10_J100_T30_R60_B10_W1_S268_N8.txt,10,100,34,1,372,372,0.00,156.01
Ins_V10_J50_T20_R60_B10_W1_S167_N7.txt,10,50,25,1,127,127,0.00,0.36
Ins_V10_J150_T30_R60_B10_W4_S85_N5.txt,10,150,36,4,915,811,11.37,600.28
Ins_V10_J50_T30_R60_B10_W2_S172_N2.txt,10,50,36,2,194,194,0.00,72.33
Ins_V10_J150_T20_R60_B10_W2_S72_N2.txt,10,150,26,2,591,490,17.09,600.13
Ins_V5_J50_T10_R60_B10_W2_S121_N1.txt,5,50,11,2,214,214,0.00,5.80
Ins_V5_J150_T30_R60_B10_W4_S52_N2.txt,5,150,37,4,1931,1868,3.26,600.13
Ins_V5_J150_T20_R60_B10_W4_S46_N6.txt,5,150,25,4,1521,1401,7.89,600.15
Ins_V5_J150_T30_R60_B10_W4_S50_N0.txt,5,150,35,4,1902,1865,1.95,600.14
Ins_V5_J100_T10_R60_B10_W2_S215_N5.txt,5,100,13,2,517,517,0.00,89.08
Ins_V2_J150_T30_R60_B10_W2_S20_N0.txt,2,150,36,2,3912,2958,24.39,600.08
Ins_V2_J100_T30_R60_B10_W2_S203_N3.txt,2,100,35,2,2548,2548,0.00,110.70
Ins_V5_J50_T30_R60_B10_W2_S140_N0.txt,5,50,35,2,462,462,0.00,23.82
Ins_V5_J100_T30_R60_B10_W2_S236_N6.txt,5,100,39,2,1037,1037,0.00,467.73
Ins_V10_J150_T30_R60_B10_W4_S82_N2.txt,10,150,37,4,974,930,4.52,600.25
Ins_V5_J100_T20_R60_B10_W1_S226_N6.txt,5,100,24,1,600,600,0.00,32.92
Ins_V10_J50_T30_R60_B10_W4_S170_N0.txt,10,50,34,4,252,250,0.79,600.21
Ins_V2_J50_T20_R60_B10_W2_S100_N0.txt,2,50,26,2,1061,1061,0.00,28.69
Ins_V10_J150_T30_R60_B10_W2_S89_N9.txt,10,150,39,2,797,619,22.33,600.06
Ins_V10_J100_T10_R60_B10_W4_S240_N0.txt,10,100,13,4,354,324,8.47,600.15
Ins_V10_J150_T10_R60_B10_W2_S62_N2.txt,10,150,12,2,393,197,49.87,600.06
Ins_V5_J100_T20_R60_B10_W2_S227_N7.txt,5,100,22,2,721,721,0.00,361.38
Ins_V5_J50_T10_R60_B10_W4_S129_N9.txt,5,50,12,4,391,391,0.00,5.23
Ins_V10_J150_T10_R60_B10_W1_S68_N8.txt,10,150,12,1,264,224,15.15,600.08
Ins_V10_J50_T10_R60_B10_W1_S152_N2.txt,10,50,14,1,71,71,0.00,0.34
Ins_V2_J150_T30_R60_B10_W4_S25_N5.txt,2,150,38,4,4925,4881,0.89,600.11
Ins_V5_J100_T30_R60_B10_W4_S230_N0.txt,5,100,39,4,1295,1280,1.16,600.10
Ins_V2_J50_T30_R60_B10_W4_S116_N6.txt,2,50,35,4,1615,1615,0.00,179.99
Ins_V5_J100_T30_R60_B10_W2_S235_N5.txt,5,100,34,2,929,928,0.11,600.48
Ins_V2_J150_T10_R60_B10_W1_S6_N6.txt,2,150,13,1,1517,1517,0.00,179.89
Ins_V10_J150_T30_R60_B10_W1_S85_N5.txt,10,150,36,1,615,567,7.80,600.11
Ins_V10_J100_T30_R60_B10_W1_S267_N7.txt,10,100,39,1,407,407,0.00,81.60
Ins_V10_J100_T10_R60_B10_W1_S246_N6.txt,10,100,11,1,141,141,0.00,57.46
Ins_V2_J100_T30_R60_B10_W2_S208_N8.txt,2,100,40,2,2710,2710,0.00,128.69
Ins_V2_J100_T30_R60_B10_W2_S201_N1.txt,2,100,38,2,2597,2597,0.00,272.96
