File name,Fleet size,Number of jobs,Average job duration,Average energy job costs,Lower bound,Upper bound,GAP (%),Runtime
Ins_V5_J100_T10_R60_B10_W1_S216_N6.txt,5,100,11,1,319,319,0.00,0.14
Ins_V2_J50_T20_R60_B10_W4_S103_N3.txt,2,50,27,5,1456,1456,0.00,0.13
Ins_V5_J100_T20_R60_B10_W4_S221_N1.txt,5,100,26,5,1077,1077,0.00,0.23
Ins_V5_J100_T10_R60_B10_W2_S211_N1.txt,5,100,12,2,494,494,0.00,0.19
Ins_V10_J150_T30_R60_B10_W1_S82_N2.txt,10,150,37,1,618,624,0.97,0.45
Ins_V5_J150_T10_R60_B10_W4_S31_N1.txt,5,150,12,4,1132,1132,0.00,240.12
Ins_V10_J50_T20_R60_B10_W2_S167_N7.txt,10,50,25,2,145,158,8.97,0.06
Ins_V2_J150_T10_R60_B10_W2_S3_N3.txt,2,150,12,2,1947,1947,0.00,0.64
Ins_V5_J50_T20_R60_B10_W1_S139_N9.txt,5,50,23,1,258,258,0.00,0.04
Ins_V2_J150_T20_R60_B10_W4_S10_N0.txt,2,150,24,4,3711,3711,0.00,240.05
Ins_V10_J150_T30_R60_B10_W2_S80_N0.txt,10,150,34,2,682,682,0.00,6.86
Ins_V5_J150_T10_R60_B10_W2_S34_N4.txt,5,150,12,2,826,826,0.00,0.41
Ins_V2_J200_T10_R60_B10_W2_S276_N6.txt,2,200,11,2,2691,2691,0.00,0.91
Ins_V2_J50_T10_R60_B10_W2_S99_N9.txt,2,50,11,2,583,583,0.00,0.04
Ins_V10_J150_T20_R60_B10_W1_S73_N3.txt,10,150,25,1,438,439,0.23,0.37
Ins_V10_J100_T30_R60_B10_W2_S265_N5.txt,10,100,38,2,483,485,0.41,1.15
Ins_V5_J200_T20_R60_B10_W1_S317_N7.txt,5,200,25,1,1254,1254,0.00,0.89
Ins_V2_J100_T20_R60_B10_W2_S191_N1.txt,2,100,26,2,2080,2080,0.00,0.13
Ins_V5_J100_T30_R60_B10_W2_S234_N4.txt,5,100,39,2,1033,1033,0.00,8.96
Ins_V5_J100_T20_R60_B10_W4_S227_N7.txt,5,100,22,4,949,949,0.00,78.88
Ins_V2_J50_T10_R60_B10_W2_S90_N0.txt,2,50,11,2,627,627,0.00,0.06
Ins_V10_J200_T10_R60_B10_W2_S330_N0.txt,10,200,12,2,516,516,0.00,2.06
Ins_V2_J100_T20_R60_B10_W1_S190_N0.txt,2,100,27,1,1724,1724,0.00,0.12
Ins_V2_J100_T20_R60_B10_W4_S193_N3.txt,2,100,26,4,2573,2573,0.00,0.62
Ins_V5_J150_T20_R60_B10_W2_S47_N7.txt,5,150,25,2,1161,1161,0.00,0.54
Ins_V10_J150_T10_R60_B10_W1_S62_N2.txt,10,150,12,1,252,252,0.00,0.47
Ins_V5_J100_T30_R60_B10_W1_S234_N4.txt,5,100,39,1,889,889,0.00,0.15
Ins_V2_J100_T20_R60_B10_W4_S198_N8.txt,2,100,24,4,2676,2676,0.00,9.00
Ins_V2_J150_T20_R60_B10_W1_S17_N7.txt,2,150,23,1,2314,2314,0.00,0.27
Ins_V10_J200_T30_R60_B10_W4_S351_N1.txt,10,200,36,4,1261,1261,0.00,241.16
Ins_V2_J100_T10_R60_B10_W2_S185_N5.txt,2,100,12,2,1310,1310,0.00,0.12
Ins_V10_J150_T20_R60_B10_W2_S71_N1.txt,10,150,23,2,536,536,0.00,7.97
Ins_V2_J150_T20_R60_B10_W2_S16_N6.txt,2,150,23,2,3020,3020,0.00,58.55
